month,crossingType,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025
Apr,Truck Containers Loaded,,202,281,147,-211,324,-431,304,552,464,-1429,542,-523,-828,621,-531,607,-665,214,-286,586,1725,-1316,324,-77,-512,-78,-396,1082,-726
Apr,Trucks,,271,52,239,-137,305,-530,305,468,0,-694,430,-389,-964,695,-430,739,-166,322,-218,-72,-353,179,192,-50,-309,-227,-68,404,-672
May,Bus Passengers,,260,-257,9,-44,21,-247,-164,86,-157,100,-79,152,-128,-54,-2,-2,84,27,171,-227,-100,108,15,-143,,,,41,-37
May,Buses,,7,1,-3,-1,-2,-6,-2,-1,-4,0,-2,6,-4,-3,1,-1,2,-3,7,-4,-2,6,-3,-5,,,,1,-1
May,Pedestrians,,0,0,0,0,0,0,0,0,0,0,0,0,1,-1,0,0,0,0,0,84,-13,9,-7,-50,6,37,24,-13,2
May,Personal Vehicle Passengers,,2847,616,-963,-1009,-409,-748,-1178,-19,-240,3048,-499,-1001,-647,531,-1831,93,121,-218,-182,227,-504,528,-100,-3428,70,1864,700,453,-906
May,Personal Vehicles,,622,220,-344,-380,142,-301,-471,-8,-103,195,-94,351,-251,-152,440,-262,278,-160,-83,302,-434,222,-8,-1791,65,930,341,131,-411
May,Rail Containers Empty,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,
May,Rail Containers Loaded,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,
May,Total People,,3729,579,-1298,-1433,-246,-1296,-1813,59,-500,3343,-672,-498,-1025,324,-1393,-171,483,-351,-94,386,-1051,867,-100,-5412,141,2831,1088,612,-1352
May,Total Vehicles,,3774,-863,-748,574,1904,-2079,170,1037,-238,-321,-190,-940,-1092,-363,237,1236,572,-69,-548,-622,3483,-1822,64,-924,-293,487,-257,239,-2341
May,Train Passengers,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,
May,Trains,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,
May,Truck Containers Empty,,175,149,-253,105,-10,-64,-36,25,14,147,-32,21,-82,-126,23,411,265,-158,-28,-197,197,-356,74,61,-21,88,-151,129,-121
May,Truck Containers Loaded,,2445,-809,-29,163,1156,-1113,93,754,-54,-606,-69,-483,-472,-689,64,808,59,148,-258,-104,2697,-1399,-49,-614,-191,198,-149,430,-1927
May,Trucks,,1147,-204,-463,307,760,-896,115,259,-194,138,-87,-484,-534,455,149,18,246,-56,-269,-317,591,-73,42,-366,-81,201,42,-321,-292
Jun,Bus Passengers,,-274,-140,250,116,-289,116,-134,-165,125,1579,-1612,-20,86,-58,-17,-78,20,-33,-28,0,0,,-3,-36,,,,,
Jun,Buses,,-5,-1,10,5,-14,4,-6,-8,4,46,-44,0,3,-3,-2,-3,1,-3,0,0,0,,0,-2,,,,,
Jun,Pedestrians,,1,-1,0,0,0,0,0,0,0,0,2,-2,0,0,0,0,0,0,96,15,-18,-39,48,-82,11,31,31,12,-44
Jun,Personal Vehicle Passengers,,-384,-710,1399,-2242,-292,-2459,-781,943,1093,747,-1826,-508,-1021,841,-123,-696,2,-162,-391,315,-263,123,-292,-4575,207,2099,1644,651,-1513
Jun,Personal Vehicles,,-137,-263,500,-801,20,-708,-309,375,-471,190,289,-145,-650,62,843,-186,-18,-188,-1,-59,74,-17,-135,-2176,206,898,814,156,-648
Jun,Rail Containers Empty,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,
Jun,Rail Containers Loaded,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,
Jun,Total People,,-794,-1114,2149,-2927,-561,-3051,-1224,1153,747,2516,-3147,-675,-1585,845,703,-960,4,-383,-324,271,-207,106,-382,-6869,424,3028,2489,819,-2205
Jun,Total Vehicles,,234,1008,94,-211,114,-758,-5,1467,-451,-390,744,-958,-803,551,1383,-408,-123,421,-1288,-240,687,390,-176,-303,518,-129,-444,821,-735
Jun,Train Passengers,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,
Jun,Trains,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,
Jun,Truck Containers Empty,,46,341,-310,64,117,-140,-41,-7,46,26,23,16,-2,-25,267,112,182,-155,-321,130,-23,-98,-46,315,-172,-202,116,114,-216
Jun,Truck Containers Loaded,,323,620,246,-73,24,-268,34,546,-76,-288,419,-590,-313,199,487,-314,-240,418,-804,216,472,328,-74,-544,511,141,-447,684,-228
Jun,Trucks,,-130,48,148,-207,-13,-354,8,936,-425,-174,346,-384,-491,380,631,-203,-66,161,-163,-586,238,158,-56,-72,179,-68,-113,23,-291
Jul,Bus Passengers,,49,232,-255,99,-26,-122,-81,179,-222,135,-93,60,-83,-4,182,-142,94,-140,-29,0,0,,,-30,,,24,48,-5
Jul,Buses,,3,16,-16,3,-4,2,-6,2,-4,3,0,-1,0,-1,10,-11,19,-21,0,0,0,,,-1,,,1,1,-1
Jul,Pedestrians,,7,-7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,114,60,-2,-117,101,-136,6,76,36,-38,-19
Jul,Personal Vehicle Passengers,,-28,-989,-692,-988,-203,-2066,-1136,650,-593,3714,-2629,-145,-810,1447,1466,-2968,122,-4,7,-586,183,5,-228,-5908,332,3125,2016,458,-1697
Jul,Personal Vehicles,,-6,-353,-250,-350,58,-537,-451,254,-235,293,9,-55,-219,323,1693,-1526,-961,1029,35,-340,-21,27,-106,-2565,283,1247,792,210,-764
Jul,Rail Containers Empty,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,
Jul,Rail Containers Loaded,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,
Jul,Total People,,22,-1117,-1197,-1239,-171,-2725,-1668,1083,-1050,4142,-2713,-140,-1112,1766,3341,-4636,-745,885,127,-866,160,-85,-203,-8639,621,4504,2868,678,-2485
Jul,Total Vehicles,,718,1155,-426,-10,234,-273,-78,375,-866,1188,488,-879,-836,189,2344,-936,43,-365,-688,-989,1285,8,312,-287,88,-372,-39,928,-594
Jul,Train Passengers,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,
Jul,Trains,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,
Jul,Truck Containers Empty,,85,213,-242,5,177,-83,-48,-30,-63,193,-24,23,-30,-7,526,-207,413,-287,-34,-391,10,19,70,139,-100,-188,141,-42,-46
Jul,Truck Containers Loaded,,526,670,71,-109,-57,-24,18,204,-1086,1140,261,-398,-472,105,682,-397,-293,115,-341,-90,768,-44,45,-266,165,29,20,675,-338
Jul,Trucks,,104,256,-239,91,118,-168,-42,199,287,-148,251,-503,-334,92,1126,-321,-96,-172,-313,-508,507,33,196,-159,23,-215,-201,294,-209
Aug,Bus Passengers,,15,101,-91,20,42,-92,9,-55,12,-12,80,-20,-11,-49,31,112,-59,-56,-28,0,0,,-24,-44,,,,-140,
Aug,Buses,,2,-2,2,1,2,-4,-1,-3,1,-1,4,-2,0,-2,1,2,1,-4,0,0,0,,-1,-1,,,,-4,
Aug,Pedestrians,,2,-2,0,0,1,-1,0,0,0,0,0,0,0,0,0,0,0,0,133,38,-70,46,31,-156,4,119,-25,83,-103
Aug,Personal Vehicle Passengers,,721,-478,-754,-990,-753,-2160,-905,-42,2610,424,-2639,314,-1278,1230,-904,-418,982,-746,-1119,-137,803,7,29,-6006,433,2672,1917,721,-1824
Aug,Personal Vehicles,,228,-142,-265,-358,-269,-418,-362,-9,-32,56,491,12,-798,478,582,-337,441,-333,-499,214,-52,-76,18,-2742,263,1258,748,308,-783
Aug,Rail Containers Empty,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,
Aug,Rail Containers Loaded,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,
Aug,Total People,,966,-521,-1110,-1328,-979,-2671,-1258,-106,2590,468,-2068,306,-2087,1659,-291,-643,1364,-1135,-1513,115,681,45,54,-8948,700,4049,2780,972,-2656
Aug,Total Vehicles,,1854,-284,148,-117,897,-496,-361,34,160,193,-188,-568,-1045,669,1225,213,120,-1638,-84,-189,526,659,91,-372,395,-441,453,877,-1147
Aug,Train Passengers,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,
Aug,Trains,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,
Aug,Truck Containers Empty,,192,-82,-29,12,83,-45,-38,-36,40,62,7,33,10,-29,331,255,234,-754,86,13,-90,-12,23,90,-27,-119,212,13,-138
Aug,Truck Containers Loaded,,1509,-195,116,-111,442,-239,-133,-376,153,367,-93,-344,-521,337,146,5,-197,-405,44,71,485,358,-47,-284,308,-144,334,516,-574
Aug,Trucks,,151,-5,59,-19,370,-208,-189,449,-34,-235,-106,-255,-534,363,747,-49,82,-475,-214,-273,131,311,116,-177,114,-178,-97,352,-437
Sep,Bus Passengers,,-41,4,63,-100,141,5,-58,-108,3,48,-28,-14,56,-55,137,-84,77,-140,30,21,-51,,,,,,,1,-19
Sep,Buses,,2,-2,3,-6,8,0,-5,-3,1,-1,1,-2,1,-1,5,-3,1,22,-25,1,-2,,,,,,,0,0
Sep,Pedestrians,,0,0,3,-3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,71,25,-21,8,-44,-26,22,40,26,21,-74
Sep,Personal Vehicle Passengers,,-995,-267,-1039,-3554,929,63,-395,-118,1453,-1767,1090,-479,-635,558,-1107,-185,-89,-420,258,411,-100,-316,-8,-3373,451,1849,1095,241,-1338
Sep,Personal Vehicles,,-437,-13,-371,-52,-651,25,-162,-47,-149,84,182,-304,-14,215,11,103,64,-218,19,151,-40,-159,19,-1713,248,934,485,147,-636
Sep,Rail Containers Empty,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,
Sep,Rail Containers Loaded,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,
Sep,Total People,,-1473,-276,-1344,-3709,419,93,-615,-273,1307,-1635,1244,-797,-593,718,-959,-166,52,-778,378,608,-212,-467,-33,-5112,721,2823,1624,410,-2067
Sep,Total Vehicles,,1413,-59,-145,224,168,38,308,848,-2457,2064,-1152,-392,-899,-133,1872,474,395,-1016,-1101,51,654,230,308,-403,464,-694,1157,-109,-1027
Sep,Train Passengers,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,
Sep,Trains,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,
Sep,Truck Containers Empty,,99,12,-52,33,69,-77,-11,96,-169,139,-92,91,28,-162,339,317,388,-618,-236,27,-25,16,61,183,-140,-144,250,-160,-262
Sep,Truck Containers Loaded,,1190,9,-5,119,14,164,94,600,-2185,1798,-907,59,-451,-465,1121,59,-294,99,-493,173,548,30,81,-436,481,-252,664,119,-488
Sep,Trucks,,122,-78,-91,78,77,-49,230,155,-104,128,-154,-540,-477,495,407,101,300,-519,-347,-150,133,184,166,-150,123,-298,242,-68,-277
Oct,Bus Passengers,,34,83,-221,26,-170,29,82,-96,93,27,-9,-50,-117,137,-89,-27,24,6,-51,29,-29,,,,,,-21,,
Oct,Buses,,-2,6,-6,2,-8,0,5,-6,2,0,2,-3,-3,4,-2,0,1,-3,0,1,-1,,,,,,-1,,
Oct,Pedestrians,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,46,10,11,-14,20,-45,-5,54,-4,40,-51
Oct,Personal Vehicle Passengers,,201,319,-1977,-2951,3285,-2252,-389,55,-46,251,1202,-1526,-378,727,-971,116,-16,224,-409,235,-106,-330,193,-3766,283,3229,-20,474,-907
Oct,Personal Vehicles,,70,116,-706,87,-679,129,-153,21,-12,117,398,-639,98,-51,623,-123,-7,155,-190,-47,-43,-148,115,-1958,170,1575,-14,217,-448
Oct,Rail Containers Empty,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,
Oct,Rail Containers Loaded,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,
Oct,Total People,,305,518,-2904,-2838,2436,-2094,-460,-20,35,395,1591,-2215,-397,813,-437,-34,1,385,-604,227,-167,-492,328,-5769,448,4879,-59,731,-1406
Oct,Total Vehicles,,1674,-501,666,520,1013,-1287,-1462,1591,-1708,1487,323,-1795,-583,509,845,369,134,338,-1160,-121,1332,-102,-9,-927,593,-723,857,758,-905
Oct,Train Passengers,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,
Oct,Trains,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,
Oct,Truck Containers Empty,,105,-65,51,32,94,-124,7,-37,-63,129,10,-9,33,-26,179,192,213,-9,-339,-129,-7,-30,77,267,-270,-102,162,13,-158
Oct,Truck Containers Loaded,,1508,-246,355,120,380,-481,-740,739,-1635,1557,206,-936,-360,117,425,3,-395,427,-241,68,917,-67,-127,-806,629,-258,529,478,-394
Oct,Trucks,,63,-196,266,366,547,-682,-734,895,-12,-199,105,-847,-253,414,243,174,315,-77,-580,-61,423,-5,41,-388,234,-364,167,267,-353
Nov,Bus Passengers,,70,-51,-115,71,-136,207,-148,91,-79,29,-57,81,-118,-26,98,-66,44,-14,-62,0,0,,43,-88,,,-8,-5,-1
Nov,Buses,,2,2,-5,1,-5,6,-4,4,-3,-1,1,1,-4,-1,2,-1,1,-2,0,0,0,,2,-3,,,0,0,1
Nov,Pedestrians,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35,26,-18,6,-3,-18,-5,71,-16,18,-14
Nov,Personal Vehicle Passengers,,799,-1223,655,-3562,1190,-424,-644,894,-775,314,1427,-802,-586,-857,310,-258,442,14,-188,124,-183,20,-125,-3017,1571,625,528,-117,-474
Nov,Personal Vehicles,,285,-486,284,-882,229,-172,-258,358,-309,127,628,-642,-180,207,355,-169,231,-24,-79,-2,-144,21,-50,-1537,868,281,205,-58,-213
Nov,Rail Containers Empty,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,
Nov,Rail Containers Loaded,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,
Nov,Total People,,1154,-1760,824,-4373,1283,-389,-1050,1343,-1163,470,1998,-1363,-884,-676,763,-493,717,-24,-294,148,-345,92,-135,-4660,2434,1015,709,-162,-702
Nov,Total Vehicles,,1514,-156,328,-211,870,-73,-605,660,-789,-97,637,-1059,-323,279,240,595,-347,667,781,-2367,1753,17,19,-1131,1022,-817,1189,-657,253
Nov,Train Passengers,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,
Nov,Trains,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,
Nov,Truck Containers Empty,,94,-45,55,-40,63,-45,-21,-1,-12,9,107,-25,3,81,62,195,-205,233,-143,-153,-25,15,76,95,-139,-108,434,-284,-122
Nov,Truck Containers Loaded,,1110,-59,99,20,442,-72,-260,144,-419,-155,495,-486,-202,79,69,97,-277,422,1391,-2054,1265,-49,-75,-712,729,-374,450,-70,322
Nov,Trucks,,308,-54,179,-192,370,38,-320,513,-355,50,34,-549,-120,120,107,304,134,14,-467,-160,513,50,16,-511,432,-336,305,-303,52
